mes,fecha,ticker,tipo,precio,acciones,metrica_orden,precio_gdx,precio_gdxj,notas,registrado
2026-08,2026-08-03,HMY,senior,16.47,624834993,EV/EBITDA 0.5,76.05,98.67,,2026-08-03T21:23:26.264425+00:00
2026-08,2026-08-03,BTG,senior,3.85,1332417631,EV/EBITDA 2.6,76.05,98.67,,2026-08-03T21:23:26.264425+00:00
2026-08,2026-08-03,IAG,senior,14.75,578000000,EV/EBITDA 4.6,76.05,98.67,,2026-08-03T21:23:26.264425+00:00
2026-08,2026-08-03,KGC,senior,23.43,1186240789,EV/EBITDA 4.8,76.05,98.67,,2026-08-03T21:23:26.264425+00:00
2026-08,2026-08-03,EQX,senior,9.18,789157839,EV/EBITDA 5.2,76.05,98.67,,2026-08-03T21:23:26.264425+00:00
2026-09,2026-09-01,BTG,senior,5.48,1321070762,EV/EBITDA 3.6,98.51,127.93,,2026-09-01T10:50:04.396844+00:00
2026-09,2026-09-01,IAG,senior,20.45,571000000,EV/EBITDA 5.7,98.51,127.93,,2026-09-01T10:50:04.396844+00:00
2026-09,2026-09-01,B,senior,44.83,1645884419,EV/EBITDA 6.4,98.51,127.93,,2026-09-01T10:50:04.396844+00:00
2026-09,2026-09-01,KGC,senior,30.68,1186240789,EV/EBITDA 6.4,98.51,127.93,,2026-09-01T10:50:04.396844+00:00
2026-09,2026-09-01,SSRM,senior,37.61,203909312,EV/EBITDA 6.8,98.51,127.93,,2026-09-01T10:50:04.396844+00:00
